Target Distance: 20, Step Size: 2
0: (x,y) = (0, 0)
1: (x,y) = (-1.94059, -0.483844)
2: (x,y) = (-3.93937, -0.414045)
3: (x,y) = (-2.38508, -1.67269)
4: (x,y) = (-3.53223, -3.31099)
5: (x,y) = (-1.83614, -2.25115)
6: (x,y) = (-1.3185, -4.183)
7: (x,y) = (-3.27479, -3.76718)
8: (x,y) = (-1.52556, -2.79756)
9: (x,y) = (-0.436277, -1.12022)
10: (x,y) = (1.24106, -0.030941)
11: (x,y) = (-0.221644, 1.33306)
12: (x,y) = (1.63272, 0.583843)
13: (x,y) = (0.146434, 1.9221)
14: (x,y) = (1.86077, 2.95218)
15: (x,y) = (1.30949, 4.8747)
16: (x,y) = (1.16998, 2.87958)
17: (x,y) = (1.13508, 4.87927)
18: (x,y) = (-0.705933, 4.09781)
19: (x,y) = (-2.53302, 4.91128)
20: (x,y) = (-2.53302, 2.91128)
21: (x,y) = (-1.22091, 1.40186)
22: (x,y) = (-1.73854, 3.33371)
23: (x,y) = (-1.02181, 5.20087)
24: (x,y) = (0.0380302, 3.50478)
25: (x,y) = (-1.35129, 2.0661)
26: (x,y) = (-2.1005, 3.92047)
27: (x,y) = (-0.168648, 3.40283)
28: (x,y) = (-0.133743, 5.40252)
29: (x,y) = (-2.13374, 5.40252)
30: (x,y) = (-4.08248, 5.85243)
31: (x,y) = (-5.90957, 6.6659)
32: (x,y) = (-4.04241, 7.38264)
33: (x,y) = (-5.5287, 6.04437)
34: (x,y) = (-5.0788, 7.99311)
35: (x,y) = (-3.82016, 9.54741)
36: (x,y) = (-1.83962, 9.26906)
37: (x,y) = (-1.4238, 7.31276)
38: (x,y) = (-1.24949, 9.30515)
39: (x,y) = (-3.22487, 9.61802)
40: (x,y) = (-1.42728, 8.74128)
41: (x,y) = (-0.809244, 6.83917)
42: (x,y) = (1.16037, 7.18646)
43: (x,y) = (-0.41565, 5.95514)
44: (x,y) = (1.18162, 4.75151)
45: (x,y) = (2.57094, 6.19019)
46: (x,y) = (4.41195, 6.97165)
47: (x,y) = (5.38157, 8.72089)
48: (x,y) = (5.62531, 10.706)
49: (x,y) = (6.74369, 9.04791)
50: (x,y) = (4.8031, 8.56407)
51: (x,y) = (3.38889, 7.14985)
52: (x,y) = (5.31141, 7.70113)
53: (x,y) = (4.31141, 9.43318)
54: (x,y) = (2.65333, 10.5516)
55: (x,y) = (1.9366, 12.4187)
56: (x,y) = (1.28546, 14.3098)
57: (x,y) = (1.9035, 12.4076)
58: (x,y) = (0.644856, 10.8534)
59: (x,y) = (2.44244, 11.7301)
60: (x,y) = (1.92481, 13.662)
61: (x,y) = (1.8899, 11.6623)
62: (x,y) = (0.686271, 10.065)
